,stockId,stockName,timestamp_stock,price,volume,groupId,stockInGroup,timestamp_group_has_stock,groupHasPrice,stockNr
133,7,"Coca Cola 0,5",2022-03-23 15:42:36,,0.5,1,0,2022-03-23 15:42:37,21.0,0
134,7,"Coca Cola 0,5",2022-03-23 15:42:36,,0.5,2,0,2022-03-23 15:42:37,21.0,0
135,7,"Coca Cola 0,5",2022-03-23 15:42:36,,0.5,3,1,2022-03-23 15:42:37,21.0,-6
136,7,"Coca Cola 0,5",2022-03-23 15:42:36,,0.5,5,0,2022-03-23 15:42:37,21.0,0
137,7,"Coca Cola 0,5",2022-03-23 15:42:36,,0.5,8,0,2022-04-28 00:00:00,0.0,0
138,7,"Coca Cola 0,5",2022-03-23 15:42:36,,0.5,9,0,2022-04-28 00:00:00,21.0,-2
139,7,"Coca Cola 0,5",2022-03-23 15:42:36,,0.5,11,0,2022-04-28 00:00:00,0.0,0
140,7,"Coca Cola 0,5",2022-03-23 15:42:36,,0.5,12,0,2022-04-28 00:00:00,21.0,0
141,7,"Coca Cola 0,5",2022-03-23 15:42:36,,0.5,13,1,2022-04-28 00:00:00,22.0,0
142,7,"Coca Cola 0,5",2022-03-23 15:42:36,,0.5,14,0,2022-04-28 00:00:00,0.0,0
143,7,"Coca Cola 0,5",2022-03-23 15:42:36,,0.5,15,0,2022-04-28 00:00:00,0.0,0
144,7,"Coca Cola 0,5",2022-03-23 15:42:36,,0.5,17,1,2022-04-28 00:00:00,21.0,0
145,7,"Coca Cola 0,5",2022-03-23 15:42:36,,0.5,18,0,2022-04-28 00:00:00,22.0,-3
146,7,"Coca Cola 0,5",2022-03-23 15:42:36,,0.5,20,1,2022-04-28 00:00:00,0.0,0
147,7,"Coca Cola 0,5",2022-03-23 15:42:36,,0.5,21,0,2022-04-28 00:00:00,10.0,-4
148,7,"Coca Cola 0,5",2022-03-23 15:42:36,,0.5,24,0,2022-04-28 00:00:00,0.0,0
149,7,"Coca Cola 0,5",2022-03-23 15:42:36,,0.5,26,0,2022-04-28 00:00:00,0.0,0
150,7,"Coca Cola 0,5",2022-03-23 15:42:36,,0.5,27,1,2022-04-28 00:00:00,23.0,-1
151,7,"Coca Cola 0,5",2022-03-23 15:42:36,,0.5,29,0,2022-04-28 00:00:00,22.0,-16
152,7,"Coca Cola 0,5",2022-03-23 15:42:36,,0.5,31,0,2022-09-08 00:00:00,0.0,0
153,8,Red Bull,2022-03-23 15:42:49,,0.25,1,0,2022-03-23 15:42:49,19.0,0
154,8,Red Bull,2022-03-23 15:42:49,,0.25,2,1,2022-03-23 15:42:49,21.0,-303
155,8,Red Bull,2022-03-23 15:42:49,,0.25,3,1,2022-03-23 15:42:49,19.0,0
156,8,Red Bull,2022-03-23 15:42:49,,0.25,5,0,2022-03-23 15:42:49,19.0,0
157,8,Red Bull,2022-03-23 15:42:49,,0.25,6,1,2022-05-10 11:06:42,20.0,-920
158,8,Red Bull,2022-03-23 15:42:49,,0.25,7,0,2022-04-28 00:00:00,20.0,0
159,8,Red Bull,2022-03-23 15:42:49,,0.25,8,1,2022-04-28 00:00:00,19.0,0
160,8,Red Bull,2022-03-23 15:42:49,,0.25,9,0,2022-04-28 00:00:00,19.0,-162
161,8,Red Bull,2022-03-23 15:42:49,,0.25,11,1,2022-04-28 00:00:00,20.0,-951
162,8,Red Bull,2022-03-23 15:42:49,,0.25,12,1,2022-04-28 00:00:00,20.0,-922
163,8,Red Bull,2022-03-23 15:42:49,,0.25,13,1,2022-04-28 00:00:00,20.0,-23
164,8,Red Bull,2022-03-23 15:42:49,,0.25,14,1,2022-04-28 00:00:00,19.0,41
165,8,Red Bull,2022-03-23 15:42:49,,0.25,15,1,2022-04-28 00:00:00,20.0,0
166,8,Red Bull,2022-03-23 15:42:49,,0.25,16,0,2022-04-28 00:00:00,20.0,0
167,8,Red Bull,2022-03-23 15:42:49,,0.25,17,1,2022-04-28 00:00:00,19.0,0
168,8,Red Bull,2022-03-23 15:42:49,,0.25,18,1,2022-04-28 00:00:00,22.0,-32
169,8,Red Bull,2022-03-23 15:42:49,,0.25,20,1,2022-04-28 00:00:00,0.0,0
170,8,Red Bull,2022-03-23 15:42:49,,0.25,21,0,2022-09-12 16:34:35,23.0,-13
171,8,Red Bull,2022-03-23 15:42:49,,0.25,23,1,2022-04-28 00:00:00,19.0,-180
172,8,Red Bull,2022-03-23 15:42:49,,0.25,24,0,2022-04-28 00:00:00,0.0,0
173,8,Red Bull,2022-03-23 15:42:49,,0.25,26,1,2022-04-28 00:00:00,30.0,-4
174,8,Red Bull,2022-03-23 15:42:49,,0.25,27,0,2022-04-28 00:00:00,0.0,6
175,8,Red Bull,2022-03-23 15:42:49,,0.25,28,1,2022-04-28 00:00:00,20.0,22
176,8,Red Bull,2022-03-23 15:42:49,,0.25,29,1,2022-04-28 00:00:00,19.0,-4
177,8,Red Bull,2022-03-23 15:42:49,,0.25,30,1,2022-04-28 00:00:00,20.0,36
178,8,Red Bull,2022-03-23 15:42:49,,0.25,31,1,2022-09-08 00:00:00,19.0,93
179,9,Tikronersorama,2022-03-23 15:43:13,,1.0,1,1,2022-03-23 15:43:13,10.0,0
180,9,Tikronersorama,2022-03-23 15:43:13,,1.0,2,0,2022-03-23 15:43:13,10.0,0
181,9,Tikronersorama,2022-03-23 15:43:13,,1.0,3,0,2022-03-23 15:43:13,10.0,0
182,9,Tikronersorama,2022-03-23 15:43:13,,1.0,5,0,2022-03-23 15:43:13,10.0,0
183,9,Tikronersorama,2022-03-23 15:43:13,,1.0,7,0,2022-04-28 00:00:00,0.0,0
184,9,Tikronersorama,2022-03-23 15:43:13,,1.0,8,0,2022-04-28 00:00:00,0.0,0
185,9,Tikronersorama,2022-03-23 15:43:13,,1.0,9,0,2022-04-28 00:00:00,0.0,0
186,9,Tikronersorama,2022-03-23 15:43:13,,1.0,11,0,2022-04-28 00:00:00,0.0,0
187,9,Tikronersorama,2022-03-23 15:43:13,,1.0,12,0,2022-04-28 00:00:00,0.0,0
188,9,Tikronersorama,2022-03-23 15:43:13,,1.0,13,0,2022-04-28 00:00:00,0.0,0
189,9,Tikronersorama,2022-03-23 15:43:13,,1.0,14,0,2022-04-28 00:00:00,0.0,0
190,9,Tikronersorama,2022-03-23 15:43:13,,1.0,15,0,2022-04-28 00:00:00,0.0,0
191,9,Tikronersorama,2022-03-23 15:43:13,,1.0,17,1,2022-04-28 00:00:00,0.0,0
192,9,Tikronersorama,2022-03-23 15:43:13,,1.0,18,0,2022-04-28 00:00:00,0.0,0
193,9,Tikronersorama,2022-03-23 15:43:13,,1.0,20,1,2022-04-28 00:00:00,0.0,0
194,9,Tikronersorama,2022-03-23 15:43:13,,1.0,24,0,2022-04-28 00:00:00,0.0,0
195,9,Tikronersorama,2022-03-23 15:43:13,,1.0,26,0,2022-04-28 00:00:00,0.0,0
196,9,Tikronersorama,2022-03-23 15:43:13,,1.0,27,0,2022-04-28 00:00:00,0.0,0
197,9,Tikronersorama,2022-03-23 15:43:13,,1.0,29,0,2022-04-28 00:00:00,0.0,0
198,9,Tikronersorama,2022-03-23 15:43:13,,1.0,31,0,2022-09-08 00:00:00,0.0,0
199,10,Julebrus,2022-03-23 19:49:34,,0.33,1,0,2022-03-23 19:49:34,15.0,0
200,10,Julebrus,2022-03-23 19:49:34,,0.33,2,0,2022-03-23 19:49:34,15.0,0
201,10,Julebrus,2022-03-23 19:49:34,,0.33,3,0,2022-03-23 19:49:34,15.0,0
202,10,Julebrus,2022-03-23 19:49:34,,0.33,5,0,2022-03-23 19:49:34,15.0,0
203,10,Julebrus,2022-03-23 19:49:34,,0.33,7,0,2022-04-28 00:00:00,0.0,0
204,10,Julebrus,2022-03-23 19:49:34,,0.33,8,0,2022-04-28 00:00:00,0.0,0
205,10,Julebrus,2022-03-23 19:49:34,,0.33,9,0,2022-04-28 00:00:00,0.0,0
206,10,Julebrus,2022-03-23 19:49:34,,0.33,11,0,2022-04-28 00:00:00,0.0,0
