,id,userId,stockId,groupId,semesterId,timestamp,price
1,2,6,7,1,1,2022-03-23 17:08:52,21.0
4,5,5,7,1,1,2022-03-23 17:33:12,21.0
10,11,10,8,1,1,2022-03-23 17:52:03,19.0
24,26,6,10,1,1,2022-03-23 19:52:06,15.0
25,27,11,11,1,1,2022-03-23 19:54:05,17.0
26,28,11,11,1,1,2022-03-23 19:54:05,17.0
39,41,4,8,1,1,2022-03-23 22:38:26,19.0
40,42,6,8,1,1,2022-03-24 09:26:55,19.0
41,43,11,8,1,1,2022-03-24 14:09:37,19.0
42,44,6,11,1,1,2022-03-24 14:20:41,17.0
43,45,10,8,1,1,2022-03-24 16:05:42,19.0
44,46,10,8,1,1,2022-03-24 16:05:43,19.0
45,47,8,8,1,1,2022-03-24 16:16:33,19.0
46,48,10,8,1,1,2022-03-24 16:27:18,19.0
47,49,7,11,1,1,2022-03-24 16:32:11,17.0
48,51,6,10,1,1,2022-03-24 16:46:33,15.0
49,52,8,7,1,1,2022-03-24 16:47:55,21.0
50,53,2,8,1,1,2022-03-24 16:51:35,19.0
52,55,6,7,1,1,2022-03-24 18:13:58,21.0
57,60,16,11,1,1,2022-03-24 19:25:43,17.0
58,61,16,11,1,1,2022-03-24 19:53:24,17.0
59,62,6,8,1,1,2022-03-25 12:39:55,19.0
60,63,9,7,1,1,2022-03-25 13:55:27,21.0
61,64,10,8,1,1,2022-03-25 14:41:11,19.0
62,65,10,8,1,1,2022-03-25 14:41:11,19.0
63,66,7,11,1,1,2022-03-25 14:41:28,17.0
70,73,11,11,1,1,2022-03-25 22:20:42,17.0
76,79,10,11,1,1,2022-03-27 18:56:51,17.0
80,83,10,7,1,1,2022-03-27 19:51:32,21.0
84,87,2,8,1,1,2022-03-28 10:00:27,19.0
85,88,6,8,1,1,2022-03-28 11:06:43,19.0
86,89,16,8,1,1,2022-03-28 11:09:01,19.0
87,90,8,7,1,1,2022-03-28 12:55:49,21.0
88,91,6,7,1,1,2022-03-28 12:56:08,21.0
89,92,10,11,1,1,2022-03-28 14:36:43,17.0
90,93,11,8,1,1,2022-03-28 14:57:50,19.0
91,94,10,8,1,1,2022-03-28 16:05:43,19.0
92,95,6,8,1,1,2022-03-29 11:00:11,19.0
93,96,16,9,1,1,2022-03-29 13:15:51,10.0
94,97,9,14,1,1,2022-03-29 14:30:32,17.0
95,98,10,8,1,1,2022-03-29 16:31:05,19.0
96,99,7,11,1,1,2022-03-29 16:46:37,17.0
97,100,6,14,1,1,2022-03-29 17:09:59,17.0
98,101,6,14,1,1,2022-03-29 17:09:59,17.0
109,112,6,7,1,1,2022-03-29 19:10:19,21.0
110,113,11,11,1,1,2022-03-29 20:04:29,17.0
111,114,6,8,1,1,2022-03-30 09:28:44,19.0
112,115,11,14,1,1,2022-03-30 16:25:59,17.0
113,116,9,7,1,1,2022-03-30 16:27:52,21.0
115,118,18,8,1,1,2022-03-30 17:02:04,19.0
117,120,6,7,1,1,2022-03-30 18:11:30,21.0
118,121,10,7,1,1,2022-03-30 18:14:44,21.0
119,122,9,8,1,1,2022-03-30 18:18:02,19.0
122,125,12,7,1,1,2022-03-31 13:01:24,21.0
123,126,6,8,1,1,2022-03-31 13:10:03,19.0
124,127,4,8,1,1,2022-03-31 14:12:04,19.0
125,128,11,8,1,1,2022-03-31 14:12:49,19.0
127,130,6,7,1,1,2022-03-31 17:23:58,21.0
258,263,2,7,1,1,2022-04-01 21:51:21,21.0
418,424,27,8,1,1,2022-04-02 00:43:41,19.0
438,444,4,8,1,1,2022-04-02 01:20:31,19.0
494,500,10,8,1,1,2022-04-02 17:50:29,19.0
499,505,2,7,1,1,2022-04-03 03:42:02,21.0
508,514,6,14,1,1,2022-04-03 14:32:52,17.0
511,519,5,8,1,1,2022-04-04 09:58:59,19.0
512,520,10,8,1,1,2022-04-04 11:38:31,19.0
514,522,10,8,1,1,2022-04-04 16:10:35,19.0
519,555,9,7,1,1,2022-04-05 11:56:55,21.0
527,579,6,7,1,1,2022-04-13 13:48:29,21.0
529,581,4,8,1,1,2022-04-17 18:37:27,19.0
530,582,18,8,1,1,2022-04-18 15:36:34,19.0
531,583,6,14,1,1,2022-04-19 10:52:10,17.0
532,584,2,8,1,1,2022-04-20 11:59:38,19.0
533,585,10,8,1,1,2022-04-20 13:08:12,19.0
534,586,10,8,1,1,2022-04-20 13:08:12,19.0
535,587,10,8,1,1,2022-04-20 14:11:22,19.0
551,603,6,8,1,1,2022-04-21 09:12:41,19.0
552,604,10,8,1,1,2022-04-21 10:52:07,19.0
554,606,10,8,1,1,2022-04-21 12:10:35,19.0
555,607,7,8,1,1,2022-04-21 15:49:31,19.0
562,614,6,14,1,1,2022-04-21 18:38:58,17.0
563,615,6,14,1,1,2022-04-21 19:03:42,17.0
567,619,11,7,1,1,2022-04-21 19:16:02,21.0
568,620,10,14,1,1,2022-04-22 09:16:15,17.0
569,622,6,14,1,1,2022-04-22 10:07:25,17.0
574,627,11,8,1,1,2022-04-22 15:49:02,19.0
599,671,26,14,1,1,2022-04-22 17:15:02,17.0
608,682,10,8,1,1,2022-04-22 22:29:02,19.0
622,697,4,8,1,1,2022-04-24 12:27:45,19.0
623,698,11,8,1,1,2022-04-24 13:28:16,19.0
624,699,6,8,1,1,2022-04-24 13:28:32,19.0
629,704,58,14,1,1,2022-04-24 15:00:09,17.0
630,705,10,14,1,1,2022-04-24 15:08:13,17.0
631,706,10,8,1,1,2022-04-24 15:58:20,19.0
634,709,6,14,1,1,2022-04-24 18:52:30,17.0
639,714,4,8,1,1,2022-04-25 08:57:26,19.0
640,715,11,14,1,1,2022-04-25 10:25:33,17.0
642,717,18,8,1,1,2022-04-25 17:38:57,19.0
643,718,3,7,1,1,2022-04-25 18:08:58,21.0
644,719,8,7,1,1,2022-04-26 11:07:43,21.0
652,727,6,14,1,1,2022-04-26 12:45:08,17.0
653,728,4,8,1,1,2022-04-26 13:38:15,19.0
655,730,18,7,1,1,2022-04-26 15:59:34,21.0
656,731,10,8,1,1,2022-04-26 17:06:00,19.0
658,733,18,8,1,1,2022-04-26 17:51:20,19.0
659,734,8,7,1,1,2022-04-26 17:59:05,21.0
664,739,7,7,1,1,2022-04-26 19:04:19,21.0
667,742,10,14,1,1,2022-04-27 10:02:48,17.0
668,743,6,14,1,1,2022-04-27 10:48:26,17.0
669,744,7,8,1,1,2022-04-27 13:00:42,19.0
675,750,11,8,1,1,2022-04-27 16:02:41,19.0
683,758,6,8,1,1,2022-04-27 18:38:25,19.0
688,764,8,7,1,1,2022-04-28 12:13:31,21.0
689,765,6,14,1,1,2022-04-28 12:14:51,17.0
693,769,11,8,1,1,2022-04-29 14:02:40,19.0
694,770,6,14,1,1,2022-04-29 14:48:44,17.0
742,819,2,10,1,1,2022-04-30 00:39:20,15.0
743,820,2,14,1,1,2022-04-30 00:41:38,17.0
746,823,6,14,1,1,2022-04-30 10:32:04,17.0
747,824,6,8,1,1,2022-04-30 13:13:02,19.0
749,826,4,8,1,1,2022-04-30 13:33:25,19.0
756,834,85,8,30,1,2022-05-01 08:03:20,19.0
757,835,4,8,1,1,2022-05-01 14:44:50,19.0
758,836,11,8,1,1,2022-05-01 14:53:02,19.0
759,837,11,14,1,1,2022-05-01 15:08:47,17.0
760,838,6,14,1,1,2022-05-01 21:48:03,17.0
761,839,6,8,1,1,2022-05-01 21:48:03,19.0
762,840,97,8,2,1,2022-05-02 10:14:30,19.0
763,841,4,10,1,1,2022-05-02 10:15:38,15.0
764,842,6,14,1,1,2022-05-02 15:45:15,18.0
768,846,127,52,2,1,2022-05-02 17:05:51,19.0
769,847,2,8,1,1,2022-05-02 17:07:46,19.0
770,848,118,54,2,1,2022-05-02 17:19:48,19.0
772,850,8,7,1,1,2022-05-02 17:43:14,21.0
774,852,11,14,1,1,2022-05-02 17:53:38,18.0
775,853,7,14,1,1,2022-05-02 17:53:41,18.0
776,854,9,8,1,1,2022-05-02 17:54:15,19.0
777,855,9,8,1,1,2022-05-02 17:54:15,19.0
778,856,18,7,1,1,2022-05-02 18:50:55,21.0
781,859,11,52,2,1,2022-05-02 18:53:43,19.0
790,868,14,7,1,1,2022-05-02 19:21:56,21.0
802,880,9,8,1,1,2022-05-02 22:46:43,19.0
803,881,118,54,2,1,2022-05-03 08:20:51,19.0
805,883,4,7,1,1,2022-05-03 08:25:46,21.0
